CODGEO;P22_POP0014;P22_POP1529;P22_POP3044;P22_POP4559;P22_POP6074;P22_POP7589;P22_POP90P;P16_POP;P11_POP;C22_MENPSEUL;C22_MENFAM;C22_COUPAENF;C22_FAMMONO;C22_COUPSENF;P22_ACT1524;P22_ACT2554;P22_ACT5564;P22_CHOM1524;P22_CHOM2554;P22_CHOM5564;SNEMM_23;ENCTOT25;ENCTOT24;ENCTOT23;ENCTOT22;ENCITOT25;ETCTOT25;HT26;CPG26;VV26;RT26;AJCS26;ELECTEURSLP2024;BPE_2024_B105;BPE_2024_B201;BPE_2024_C201;BPE_2024_C301;BPE_2024_D307
01022;152.0;170.0;156.0;248.0;248.0;146.0;21.0;1227.0;1140.0;256.600896860987;327.040358744395;105.659192825112;55.3452914798206;166.035874439462;58.0;354.0;92.0;14.0;30.0;12.0;;14.0;13.0;12.0;19.0;9.0;17.0;1.0;1.0;0.0;0.0;0.0;893.0;1.0;0.0;1.0;0.0;1.0
01023;13.1710526315789;12.1578947368421;13.1710526315789;23.3026315789473;12.1578947368421;2.02631578947368;1.01315789473684;63.0;73.0;9.625;24.0625;9.625;0.0;14.4375;2.02631578947368;26.3421052631578;9.11842105263156;1.01315789473684;2.02631578947368;2.02631578947368;;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;61.0;0.0;0.0;0.0;0.0;0.0
01024;668.208511535465;482.292906970339;689.825332228688;709.227010615915;518.706567654846;272.630030837587;31.109640157159;3269.99999999999;3023.0;428.973472990774;1001.39307403291;451.03043803165;102.696488867153;452.768804508377;159.921973904512;1251.75954937849;295.487166285902;21.9908574775217;75.2377361346767;21.5474895173722;2186.29998140605;50.0;47.0;27.0;39.0;42.0;56.0;0.0;0.0;0.0;0.0;0.0;2482.0;0.0;1.0;0.0;0.0;1.0
01025;840.920284640171;575.632063034108;799.615299168708;899.256913002886;684.395895433631;225.706024944623;31.4735197758715;4087.99999999999;3971.0;367.522587166987;1238.03918725736;609.157102473803;102.30275448775;526.57933029581;176.409806522075;1556.3326525707;294.093212366463;32.5509845858023;85.5170736487729;26.5695777957552;2169.65385351208;43.0;38.0;38.0;40.0;36.0;50.0;0.0;0.0;0.0;0.0;0.0;3157.0;1.0;0.0;1.0;0.0;1.0
01026;174.696057240758;152.51647147237;187.690128869985;166.086519845676;164.861347037194;110.890981461129;30.2584940728842;915.000000000001;786.0;153.512595582755;277.421082427602;91.9680945265983;34.8093442196671;150.643643681336;53.9402174146709;333.077403456008;80.4297404103158;10.1107725228872;24.4883202714893;6.19635643754782;;7.0;9.0;10.0;9.0;7.0;9.0;0.0;0.0;0.0;0.0;0.0;630.0;0.0;0.0;0.0;0.0;0.0
01027;509.293261958945;951.575857755539;640.817815933797;384.624349898261;260.367140405906;127.327224719537;3.99434932801812;2856.0;2498.0;150.413269830485;596.60151271142;327.530527888959;44.3853353269301;239.911860319372;405.321754481628;1076.18029655707;148.226332445533;77.9798397431928;51.8317721749648;5.98384485286959;3374.68424043577;26.0;26.0;16.0;26.0;21.0;31.0;0.0;0.0;0.0;0.0;0.0;1319.0;0.0;0.0;0.0;0.0;0.0
01028;150.000048717542;64.4841427746195;128.168188440527;121.942388665973;116.729658838894;33.5981841254553;3.07738843698921;596.000000000001;567.0;59.9447901478727;182.437706610598;79.6081713885979;4.80848749664863;98.021047725352;22.5681288774652;214.896823983465;54.3468210582554;0.93842500944578;9.78763170370118;1.01279835539619;;1.0;8.0;7.0;11.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;428.0;0.0;0.0;0.0;0.0;0.0
01029;121.956906008513;108.433460878208;151.636507032418;149.319367858923;134.028163089052;46.6677011788735;4.95789395401316;685.0;650.0;82.1227449654621;184.856679843584;83.8996240769871;35.1538395927924;65.8032161738047;40.2885539647089;265.10716255716;54.6875196819719;5.57895544338961;14.4003921183139;8.87506690907709;;9.0;12.0;7.0;7.0;7.0;11.0;0.0;0.0;0.0;0.0;0.0;446.0;0.0;0.0;0.0;0.0;0.0
01030;151.514815220642;135.675559503233;175.647731440035;181.58694252693;129.560577434241;45.630699778467;6.38367409645313;884.999999999998;867.0;138.410409773328;240.802443826327;92.6792769600789;35.8785966779999;112.244570188248;44.681746471824;309.337344972761;77.4780489207329;3.79831329499076;30.0848497835147;1.14576329638115;;19.0;13.0;15.0;11.0;13.0;21.0;0.0;0.0;0.0;0.0;0.0;574.0;0.0;0.0;0.0;0.0;0.0
01031;623.65395832236;745.214826640976;617.245480972307;644.230319929017;618.495268956858;305.242714889582;26.9174302888958;3618.0;3590.0;696.815370181801;918.847390220552;371.27128302597;141.748704643174;416.414108308343;197.199637847172;1093.75732541804;249.643531167358;46.7893831430664;148.127952939236;22.2515465981386;2658.3227700627;46.0;46.0;31.0;39.0;40.0;52.0;2.0;0.0;0.0;0.0;0.0;1916.0;1.0;0.0;0.0;1.0;1.0
