CODGEO;P22_POP;P16_POP;SUPERF;NAIS1621;DECE1621;P22_MEN;NAISD24;DECESD24;P22_LOG;P22_RP;P22_RSECOCC;P22_LOGVAC;P22_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P22_EMPLT;P22_EMPLT_SAL;P16_EMPLT;P22_POP1564;P22_CHOM1564;P22_ACT1564;ETTOT24;ETAZ24;ETBE24;ETFZ24;ETGU24;ETOQ24;ETTEF124;ETTEFP1024
01012;329;326;21.65;16;35;156.375500704889;1;2;220.480110117795;156.375500704889;48.3411808687489;15.7634285441573;129.100711145272;144;s;24270;s;42.6046762230611;31.5969367741957;61.3214396319693;192.956372014792;11.7839985906719;155.129029577064;8;1;2;1;2;2;8;0
01013;140;148;14.1;3;9;74.0579710144929;2;1;121.057971014493;74.0579710144929;35.2500000000001;11.75;63.913043478261;67;s;22180;s;21.288363043042;6.05516146201433;19.5;87.2463768115943;6.08695652173914;67.9710144927537;2;1;0;0;0;1;2;0
01014;3482;3379;23.49;180;148;1414.2957763158;23;24;1531.98830939253;1414.2957763158;14.8351932449657;102.857339831762;900.293360642336;1361;51,0;22410;13,0;2189.1768468077;1978.06071139094;2153.04517274464;2070.93334163366;169.213762006345;1582.06606709559;245;1;49;24;152;19;170;62
01015;688;640;22.49;34;48;310.742342975342;7;6;423.530884365923;310.742342975342;67.4405711407601;45.3479702498215;257.045971859659;313;s;23800;s;49.9750168819447;24.5167837261486;54.6136430963387;395.516735215926;7.47458366015398;325.011419467084;13;2;3;1;4;3;12;0
01016;459;462;17.47;27;21;186.187908859224;2;3;219.76940665658;186.187908859224;17.2995594713657;16.2819383259912;165.932035959133;187;s;23080;s;38.6307176064609;22.7281305164133;39.559085219911;257.990753173682;16.0378641762785;216.968855239276;7;1;1;1;2;2;7;0
01017;420;438;7.84;25;32;200;2;2;324;200;53;71;166;194;s;20790;s;39.7322696660489;26.6823151442696;38.6224046942974;243;18;176;14;1;4;1;6;2;12;1
01019;25;26;6.82;1;4;12.5;0;0;27.5;12.5;14;1;9.61538461538462;s;s;s;s;1.84269421638139;1.84269421638139;3.24999999999999;14.4230769230769;3.84615384615385;12.5;1;0;0;0;0;1;1;0
01021;1513;1389;5.5;96;41;580.91785591344;10;7;625.235686129948;580.91785591344;17.2347117508643;27.0831184656439;440.545007589044;565;s;26430;s;259.152186117607;128.412638852588;198.558573486494;934.143069362357;37.3609653899898;737.13986301061;36;1;1;6;25;3;30;3
01022;1141;1227;3.75;35;85;583;6;14;740;583;41;116;363;574;s;22000;s;326.17183846653;244.50064606926;340.42448256639;652;56;504;45;0;3;6;31;5;36;5
01023;77;63;4.68;7;2;34.4473684210526;1;1;46.4473684210526;34.4473684210526;7;5;28.3684210526315;s;s;s;s;18.755254912095;14.6957927190825;7.5477753937714;49.6447368421052;5.0657894736842;37.4868421052631;4;2;0;0;1;1;4;0
01024;3372;3270;18.69;211;90;1437.51600502998;30;13;1537.22008143602;1437.51600502998;17.594837012831;82.1092393932115;1012.54752606779;1406;60,0;24460;7,0;949.891678098267;809.96467980662;909.674184618011;2055.59113568949;118.776083129571;1707.16868956891;83;1;7;10;58;7;61;14
01025;4057;4088;56.87;255;140;1625.17895279812;19;25;1759.4976668325;1625.17895279812;25.4391503852982;108.879563649077;1352.14514527482;1628;58,0;24880;6,0;743.496178238163;604.722155097464;602.646013879433;2532.01048326141;144.63763603033;2026.83567145924;70;17;9;13;26;5;53;10
01026;987;915;0.88;68;89;440.669144307223;12;9;474.574101668959;440.669144307223;8.21938360284488;25.6855737588902;257.844274420723;434;s;22860;s;265.574203241574;212.857550183327;283.102998549135;559.902542358237;40.7954492319244;467.447361280995;36;0;3;1;20;12;29;5
01027;2878;2856;18.04;172;45;752.208071185657;26;8;802.770885731586;752.208071185657;10.2998325926892;40.2629819532396;548.338728010462;712;s;25770;s;1752.21136005298;1406.93056342371;2141.54844073652;2078.29352635645;135.795456771027;1629.72838348423;64;2;9;10;37;6;51;7
01028;618;596;8.91;40;23;247.728877561158;7;5;271.81615028843;247.728877561158;7.02545454545452;17.0618181818181;211.334110394869;227;s;25520;s;77.3327930539515;47.4297657198264;65.5895552806592;358.206089133594;11.7388550685432;291.811773919185;14;4;1;2;5;2;14;0
01029;717;685;14.07;22;42;272.695320053144;7;3;332.028653386477;272.695320053144;20.7195767195767;38.6137566137566;204.952730781722;274;s;21350;s;219.207975037557;184.512667247998;185.126575248709;468.038220787969;28.8544144707806;360.083236203841;15;3;4;1;3;4;12;2
01030;826;885;0.94;65;26;384.924168244123;11;2;463.392138160914;384.924168244123;8.3699167911244;70.0980531256669;195.881045327451;364;s;24240;s;63.1212514811582;41.2369101967748;70.5434633932377;538.806265458153;35.0289263748866;431.497140365318;17;0;1;3;11;2;12;1
01031;3581;3618;7.83;229;127;1664.58924263883;36;22;1873.6657298302;1664.58924263883;29.4851456295532;179.591341561824;633.603858540962;1479;44,0;20550;20,0;2176.55027385066;2005.71971085713;2180.82473056913;2216.17620161524;217.168882680441;1540.60049443257;186;0;45;9;118;14;127;42
01032;3484;3314;13.3;276;188;1281.71051432266;45;40;1360.39332313698;1281.71051432266;19.1390616034828;59.5437472108354;740.702236934138;1184;56,0;23060;8,0;1516.94478864068;1299.27636104465;1390.57629574337;2107.88603824223;137.683741049696;1697.23842731206;105;0;22;24;50;9;78;22
01033;16162;16302;62.53;1333;843;7208.48270156646;199;132;8502.2974395821;7208.48270156646;246.201512293932;1047.61322572171;3452.24873182247;6545;46,0;23780;17,0;5500.27605783025;4719.30057263971;5671.49682833665;10340.451785053;1172.44093937185;7975.26406370865;525;4;39;95;328;59;378;100
01034;9270;9133;22.42;528;753;4366;81;153;5257;4366;159;732;2001;4073;48,0;21180;18,0;6199.4967005241;5470.80524374775;5788.9559033116;5303;468;3921;405;4;41;46;258;56;293;77
01035;306;317;17.63;15;17;146.730953221924;4;0;235.091608959629;146.730953221924;70.2868852459018;18.0737704918033;122.322887908383;145;s;26160;s;26.7270486147464;11.8844626441447;32.8226502470143;195.085689154238;6.99582116031494;156.226995287989;6;1;2;2;0;1;6;0
01036;1350;1299;56.71;57;79;644;8;8;983;644;312;27;525;592;s;23820;s;115.002658845537;56.9715062289326;126.676437716412;757;38;580;21;5;1;5;8;2;17;1
01037;311;294;15.33;19;19;132;3;3;188;132;37;19;101;126;s;21770;s;51.9297220851115;25.9978458906018;119.994514887905;191;13;150;6;0;1;2;1;2;5;0
